Team,Abbreviation,Conference,Division
Anaheim Ducks,ANA,Western,Pacific
Arizona Coyotes,ARI,Western,Pacific
Boston Bruins,BOS,Eastern,Atlantic
Buffalo Sabres,BUF,Eastern,Atlantic
Calgary Flames,CGY,Western,Pacific
Carolina Hurricanes,CAR,Eastern,Metropolitan
Chicago Blackhawks,CHI,Western,Central
Colorado Avalanche,COL,Western,Central
Columbus Blue Jackets,CLB,Eastern,Metropolitan
Dallas Stars,DAL,Western,Central
Detroit Red Wings,DET,Eastern,Atlantic
Edmonton Oilers,EDM,Western,Pacific
Florida Panthers,FLA,Eastern,Atlantic
Los Angeles Kings,LAK,Western,Pacific
Minnesota Wild,MIN,Western,Central
Montreal Candiens,MTL,Eastern,Atlantic
Nashville Predators,NSH,Western,Central
New Jersey Devils,NJD,Eastern,Metropolitan
New York Islanders,NYI,Eastern,Metropolitan
New York Rangers,NYR,Eastern,Metropolitan
Ottawa Senators,OTT,Eastern,Atlantic
Philadelphia Flyers,PHI,Eastern,Metropolitan
Pittsburgh Penguins,PIT,Eastern,Metropolitan
San Jose Sharks,SJS,Western,Pacific
St. Louis Blues,STL,Western,Central
Tampa Bay Lightning,TBL,Eastern,Atlantic
Toronto Maple Leafs,TOR,Eastern,Atlantic
Vancouver Canucks,VAN,Western,Pacific
Vegas Golden Knights,VGK,Western,Pacific
Washington Capitals,WSH,Eastern,Metropolitan
Winnipeg Jets,WPG,Western,Central
